Feedback,Overall Rating,Position,Location,Service Time,Pros,Cons,Date
Good pleace to Work,5.0,Operation Officer,Delhi Cantonment,Current Employee,"Great place to start IT work - Friendly and learning-based working environment. - Worked on multiple data analytics data handling projects. - Familiarised with many new technologies. - Supportive team members and senior staff. - Work from home, travel free and flexible work timings","Everything is good, I don't have any Cons.",14 Nov 2023
A Realm of Outstanding Work Environment and Unbounded Growth Potential,5.0,Software Engineer,"Patna, Bihar","Current Employee, less than 1 year","BlackCoffer is an exceptional place to work because of its commitment to employee growth, work-life balance, and a positive work environment. I highly recommend BlackCoffer to anyone looking for a company that values its employees and provides ample opportunities for professional development.","I have no reservations about recommending BlackCoffer to anyone looking for a great place to work. The company is exceptional in every way, and I have had a truly rewarding experience here.",7 Aug 2023
good company,1.0,Software Engineer,New Delhi,"Current Employee, less than 1 year","easy interview, work from home","too much work, work from monday to saturday",7 Dec 2023
A Transformative Journey with Blackcoffer: Empowering Growth and Innovation,5.0,Associate Software Engineer,New Delhi,Calcutta,"1. Welcoming and Inclusive Culture: Blackcoffer fosters a collaborative and inclusive work environment, where employees feel valued and heard by the management team. 2. Work-Life Balance: Blackcoffer promotes work-life balance by offering flexible work hours and remote work options. 3. Challenging and Rewarding Work: As a Software Engineer Associate, I have been entrusted with meaningful projects that allow me to showcase my abilities and contribute to the company's success. 4. Supportive Team",Project Timelines Clarity: Providing clearer project timelines would help streamline efforts and improve productivity.,7 Aug 2023
Exceptional opportunity for aspiring data scientists,5.0,Data Scientist Associate,Delhi Cantonment,"Former Employee, less than 1 year","WFH, outstanding learning environment, very supportive seniors and colleagues",I couldn't find any cons in my experience at this company till now,23 Sept 2023
working environment,4.0,Associate Software Engineer,New Delhi,New Delhi,"Working Environment is very friendly ,helpful ,no stress ,you can work in a most comfortable way no pressure ,Work life balance is superb.","seniors are less helpful ,no bonus ,extra benifits .",7 Aug 2023
Good place to learn,3.0,Anonymous Employee,Pune,"Current Employee, more than 3 years",Great place to learn and get experience,Salary benifits can be better,25 Sept 2023
Blackcoffer Consulting: A Leading Provider of Innovative IT Solutions and Big Data Analytics,5.0,Data Scientist Associate,New Delhi,New Delhi,"As an employee of Blackcoffer Consulting, I am proud to say that this company truly stands out in the field of Big Data Analytics, IT Services, IT Outsourcing, and Application Development. The company's commitment to delivering innovative solutions that exceed client expectations is truly impressive. The team of experts at Blackcoffer Consulting is highly skilled and knowledgeable, making them a top choice for businesses seeking comprehensive IT solutions. One of the most remarkable things about working at Blackcoffer Consulting is the emphasis placed on professional growth and development. The company provides ample opportunities for employees to learn and expand their skill sets, ensuring that they remain at the forefront of the latest trends and technologies.",For me its a none till now.,11 May 2023
Good place to start working,5.0,Data Scientist Associate,"Gurgaon, Haryana","Current Employee, less than 1 year",Opportunity to learn Flexible working hours Client interaction since the beginning,None None None None None,7 Aug 2023
Best,5.0,Web Developer,Hyderābād,Pune,Good work Excellent work Superb support from seniors,Nothing I found everything good.,11 Sept 2023
Great place to gain exprience,5.0,Associate Software Engineer,Bengaluru,"Current Employee, less than 1 year",I have joined this company as a fresher and I can say that it is the best place to learn new skills and enhance my career. The seniors are also very cooperative and supportive.,There are no cons I found yet.,7 Aug 2023
Neutral 1 month experience,4.0,Associate Data Scientist,New Delhi,"Current Employee, less than 1 year",Work from home Flexible timings Its alright,I wasnt guided properly They track your activities They want report everyday,29 Aug 2023
Avoid at all cost.,1.0,Associate Software Engineer,Mumbai,Pilani,No pros in the company only pro is work from home.,Everything at this company is uncanny and informal please beware of the 6 months probation period they give the same assessment to every candidate. Also they won't assign you to a proper project and expect to complete. There is no proper management in the company. Also they have lack of knowledge and there is no growth there. The will eventually terminate you and let you know later that your last working day was earlier.,14 Jul 2023
Review,5.0,Anonymous Employee,North West,Current Employee,Good Team to work with,Saturation point will come eventually,25 Aug 2023
Scammer Company,1.0,Data Science Associate,New Delhi,"Current Employee, more than 3 years",No pros of this company . they just fired me in 4 days of joining just by sending me a msg on skype that we can't utilize your skills . How someone Know about employees skills in just 4 days .,- unprofessional -No Support - No management -Scammer,6 Aug 2023
Run by a group of relatives. Too much Politics!!,1.0,Data Scentist,Uttara Kannada,New Delhi,"Work from home, Work experience.","-You are expected to work for 15 hours a day, 7 days a week. 
-All the positive reviews that you see are fake.
-No public holidays. 
-They sometimes don't give you salary. 
-You are expected to work for free. 
-Do everything on your own laptop.
-I would rather go homeless than work here. (not joking).
-Even if they paid me, I will never work for this company.",13 Jun 2023
NOT bad,4.0,Data Scientist,Chandigarh,Current Employee,GOOD for internship purpose only.,Salary was not good at all.,2 Aug 2023
Avoid,1.0,Data Analyst,New Delhi,"Current Employee, less than 1 year",Assignment based interview is good.,"No proper training, fake offers, They fire within probationary period with silly reasons No laptop or office equipment provided Management has no proper management skills",17 Jul 2023
Working Environment At Blackcoffer,5.0,Software Engineer Associate,Hyderābād,Current Employee,"The company is engaged in providing innovative, best-in-class consulting and IT solutions. It provides me great opportunity to learn work in a very healthy environment.",I have not encountered any difficulty in adjusting to my new environment.,11 May 2023
good working place,5.0,Data Analyst,New Delhi,"Former Employee, less than 1 year",working environment is good and staf is good,salary should be more as per the work,9 Jun 2023
Started as a Data Science Associate at Blackcoffer,5.0,Data Science Associate,Tura,Delhi Cantonment,1) promotes collaboration and inclusivity. 2) Opportunities for career growth and professional development. 3) Competitive compensation and benefits package. 5)Flexible work hours Emphasis on work-life balance and work from home,"Some employees may find the workload challenging, especially during busy periods.",2 May 2023
A great Experience,5.0,Data Scientist Associate,New Delhi,"Current Employee, less than 1 year",1) Getting to learn new tools. 2) Working with Client directly. 3) Salary on Time 4) Flexible work timings 5) Great Management & people.,Nothing that I experienced as of now.,11 May 2023
Good company to start your career in Data Science.,5.0,Associate Data Scientist,Hyderābād,"Patna, Bihar",You gain to know the real time working of data science projects. Work from Home.,There are no cons as of now.,12 May 2023
Good place to start career as a fresher,5.0,Data Scientist Associate,New Delhi,Current Employee,Work from home and good learning opportunity,Interview is a slightly challenging,11 May 2023
Nice experience,4.0,Software Development Engineer,New Delhi,"Former Employee, less than 1 year",Good environment for work here,Nothing cons are there. Everything is good,12 May 2023
Its really good,5.0,Anonymous Employee,Mumbai,Current Employee,really good i like to work here,there is no cons as such,25 Apr 2023
Best Internship,5.0,Data Scientist,Rānchī,"Former Employee, less than 1 year",1) Work experience with client 2) Good Communication 3) Great Team Spirit 4) Helps to learn in training,1) High Work Load 2) No Office work experience,4 Apr 2023
Well the company is quite nice,1.0,Internship,New Delhi,New Delhi,They don't give you salary. Internship with mentors - there is nothing like that. They just employ you to get the tasks done and get all the work done and take the money for themselves,Oh it's a best company to work for if you don't care about your time.,26 Mar 2023
Great place to start your career,5.0,Associalte Software Engineer,"Jaipur, Rajasthan","Current Employee, more than 1 year","Flexible Timing, Get to Learn from day 1, Great Support for Freshers",Haven't experienced anything that counts as a con yet,16 Mar 2023
Very nice place to work with. Very nice staff. Learn a lot from this company.,5.0,Associate Software Engineer,New Delhi,New Delhi,1. Staff is very friendly. 2. Give Personal Space to plan and execute our work accordingly.,"Currently, I don't see any downside of this Company.",20 Feb 2023
Great work environment and amazing opportunities.,5.0,Full Stack Web Developer,New Delhi,"Current Employee, less than 1 year","My experience with Blackcoffer has been a great one, I got to work on a number of amazing projects using new and upcoming technologies. Not only has it been helpful in developing my technical skills but also the opportunity to interact with clients directly helped me become more confident while giving me an insight of the industry.","6 day work week, but that is not an issue as Blackcoffer provides flexible work hours.",8 Dec 2022
Pros,4.0,Business Development Manager,New Delhi,Delhi Cantonment,Very nice Peaceful work environment,Nothing as such for cons,18 Mar 2023
Skill And Work ethic are valued,5.0,Associate Software Engineer,New Delhi,Current Employee,"I'm not new to IT dept, having worked in the industry now for 1.5 years. What I like about Blackcoffer is skill and work ethic are valued. I am appreciated here and have been given great resources to do my job.",I didn't see any cons as of now,7 Jan 2023
Great Place to start your career,5.0,Assosciate Software Engineer,Bengaluru,"Current Employee, less than 1 year",Best place to learn and boost you career. Work from home available.,Not that i have experienced now.,18 Feb 2023
Work culture in Blackoffer,5.0,Data Scientist Associate,New Delhi,New Delhi,The way in which they treat the fresher is great.,I have found as such no cons.,13 Feb 2023
Working environment,5.0,Software Engineer Associate,New Delhi,"Current Employee, less than 1 year","Flexible work, timing, and good work culture.",No cons as of now.,19 Feb 2023
Positive tech culture,5.0,HR Manager,Calcutta,Pune,You get to work with top thought leaders in several industries. Our clients are top name brands and were doing incredible things that impacts the way business is done across in the world. positive attitude.,we don't have any cons right now.,20 Dec 2022
Very good organization for Data scientists/Data engineers,5.0,Data Scientist,New Delhi,"Current Employee, less than 1 year",This is very appealing organization for starting your career in data science and excellent growth opportunities horizontally and vertically.,Working hours slightly higher than other IT companies.,10 Jan 2023
satisfied !!,5.0,Anonymous Employee,New Delhi,New Delhi,"will get to learn lot of things, best place to start your data science career",not that I have known anything,10 Jan 2023
Great to enter in industry,5.0,Data Scientist Associate,North West,"Current Employee, less than 1 year",Will learn some serious tech stack to boost up your career,Not that I have experienced till now,7 Jan 2023
Great Place to start career,5.0,Data Scientist,New Delhi,"Current Employee, less than 1 year",Great work and life balance. Flexible working time. The work culture of this place is fresher friendly.,I didn't see any cons as of now,23 Dec 2022
Great place to work,5.0,Data Scientist Associate,Calcutta,"Gurgaon, Haryana","You will have an unlimited opportunity to expand your knowledge here. You will be given flexible work hours with no pressure, and the environment at Blackcoffer is quite pleasant. This is a good place to start your career.",Don't found any till now.,8 Nov 2022
Great Place to start career,5.0,Associate Data Scientist,New Delhi,"Current Employee, less than 1 year",Great work and life balance. Flexible working time.,Currently I'm not facing any downside .So its best place for work culture.,7 Dec 2022
Healthy work culture,5.0,Software Engineer Associate,New Delhi,Former Employee,Welcoming for freshers and chill interview,As of now no cons,22 Dec 2022
Good place to work at,5.0,Associate Software Engineer,New Delhi,Hyderābād,Its a good place to work at,not found any for now,17 Dec 2022
Great Place to work,4.0,Data Scientist Associate,New Delhi,"Current Employee, less than 1 year",The interview process is amazing and HR is very kind and supportive,I don't Have any for now,30 Nov 2022
Excellent work culture,5.0,Associate DevOps Engineer,New Delhi,Bengaluru,"After working for MNCs in operations roles, I was looking for opportunities in Technical field. As we all know, only technical experienced candidates get selected for technical roles. People who look for transition in career are not given a chance easily without tech experience. But, this company gave me a chance to prove myself. Interview process was par-excellence. It met basic work culture and ground reality. One gets utmost support from the management, each and every person are there to guide. Work-Life balance is easily met.",Providing office equipment little early would be better. But that's not much of a concern.,28 Jun 2022
Great place to begin your Data Science journey,5.0,Associate Data Scientist,New Delhi,Current Employee,"Good place to begin training new & important skills which will help in your career in the field of data science.
Flexible work hours, no pressure work environment.
Quite helpful seniors and colleagues.",No cons as of now.,16 Sept 2022
Blackcoffer is a great place to work,5.0,Account Manager,Nödinge-Nol,"Former Employee, less than 1 year","Satisfaction of working for the global leader in its industry, and being well compensated for it. Opportunity to work with talented, motivated colleagues and peers in a global organization. Working on challenging issues that provide an opportunity to grow professionally, with the resources needed to meet those challenges.","Dealing with the occasional bureaucratic processes necessary at a large multi-national company. Difficulty of advancing at the higher job grade levels, as competition is high and increases as one advances. Finally, the pervasive attitude that an engineer without marketing experience can be put in a senior marketing position and be successful, while the opposite consideration of putting a marketing person in an engineering job would never happen",12 Dec 2021
Best company for fresher to work,5.0,Data Science Associate,,New Delhi,It's a great place for fresher to work they get to learn lots of important skill which is necessary for them to enhance their career in the data science domain also they get understanding and supportive teammates.,I didn't see any cons as of now,28 Jun 2022
Great work environment,5.0,Associate Software Engineer,,"Current Employee, less than 1 year","a) Flexible timing
b) Supportive management
c) Great seniors
d) lots of things to learn",a) working 6 days a week.,18 Aug 2022
flexible work hours,5.0,Data Scientist,,"Current Employee, less than 1 year","flexible work hours, work from home",not that i can say at the moment,18 Aug 2022
Best TechTeam,5.0,Associate Data Scientist,,"Current Employee, less than 1 year","I just love working with upper staff management of my company, and pleasure to get those staff ,
Purely always try help to learn new tech with full freedom and with support",All things are placed right.,28 Jun 2022
"Best place to work as ""HR""",5.0,Human Resources Associate,,Mumbai,Back in 2020 I joined black coffer as Data entry intern. I really like the environment and really had a great exposure to work. Recently I got opportunity to join black coffer as a HR Associate. I'm impressed with work environment and hiring procedure is also so smooth. Best place to work and if someone is looking for practical knowledge must join Black coffer. Senior staff is also helpful and understanding. Flexible timings are also there.,"According to me no cons in the company
It differs person to person",28 Feb 2022
Work life at Blackcoffer,5.0,Data Scientist,,"Current Employee, less than 1 year",Good for Everyone to start a career in data science field. Blackcoffer is helping associate/ fresher to do understand and make a progress with projects from day one and they are given time to enhance your learning experience with real time guidance and confidence to do.,I didn't have much in cons when I started WFH all are available and make me comfortable.,22 Mar 2022
Great place to work,5.0,Machine Learning Research Assistant,,North West,It's a great company to start working as a fresher. I really like the flexible work environment here. The team is very helpful and understanding. I learned lots of things during my internship at Blackcoffer. It is a great opportunity to work with colleagues at an international organization.,I found no cons as of now.,22 Mar 2022
My experience as a Flutter developer,5.0,Junior Flutter Developer,,"Current Employee, less than 1 year","Here I got a good opportunity to learn new things and update myself. The management team is so good, They monster the work properly and provide a good working atmosphere so that every one can give there maximum effort.",I didn't find anything wrong here till now,22 Mar 2022
Startup till the end.,1.0,Anonymous Employee,,"Current Employee, less than 1 year","Good place to work if you want to start your career as an intern. You will learn about how a company works. 
Get to know about US based companies and client.
Different and difficult projects comes in hand.","Haha, pathetic company if you are thinking of beginning a full time employee here. 
CEO can't even afford to pay more than 10k a month, and will exploit to the extent as of bought you for those 10k.
His micro management is out of the hand, who you are talking to? Why you're talking? Why you have taken break for more than 15mins? Where is the project that you have to deliver after 7 days, but given only an hour ago to you?

Want to spoil your career, better work in a bpo.
This company is a startup from 2015, and will remain so for the rest of it's time span.
They are working on shoulders of intern, and can't even afford to pay them.

All five star reviews are fake given by CEO family members",1 Aug 2021
excellent communications with team,5.0,Vice President Marketing,,New Delhi,Good work balance and pressure from team and business sales team,"""Good experience and knowdlege learning for business.
You can not only have a lot of opportunities to touch Blackcoffer's core technical products , design, but also have good chance to deal with various You can have a lot of chances to team work with the account sales team, business development manager, and high-level management in the work. You will have good chances to prove your capacity to high level management so as to make you grow up rapidly.""",13 Dec 2021
Healthy work environment for freshers,5.0,Data Science Intern,,"Current Employee, less than 1 year",Work culture of this place is fresher friendly. Interviewers were really good at making you comfortable. Work from home so it is very flexible and can be done alongside college.,Nothing that I could point out.,4 Apr 2022
Great company to start with,4.0,Data Scientist,,"Current Employee, less than 1 year",Good place to start as a fresher .you will gain new skills here and also get a opportunity to work on a real time projects.Flexible working hours available .,No cons as of now.,22 Mar 2022
Satisfactory,1.0,Web Developer,,Uttara Kannada,Good support throughout the Intership.,Not understanding Employee's Point of View.,28 Jun 2022
Started my career as Data Scientist Associate at Blackcoffer.,5.0,Data Scientist Associate,,"Current Employee, more than 5 years","Great place to implement and deploy real time projects.
Work culture and timely reporting is good.
Teamwork makes us design and deploy solutions faster.",No cons to tell as of now,25 Jan 2022
Great company to work with,5.0,Data Scientist Associate,,Chandigarh,A great opportunity to work with helping and polite team and seniors.,I don't find any cons to working in BlackCoffer,24 Jan 2022
Overall a very good company to work with.,4.0,Data Scientist,,"Current Employee, less than 1 year","Management is very nice.

All the seniors are very frank and welcoming. 

Work is pretty good & interesting. Learned many new technologies.

Gets good guidance from seniors & opportunities for career & skill growth.",Did not find any Cons. as of now.,6 Dec 2021
Great company to work with,5.0,Data Entry,,New Delhi,"Time management is good, work effiency","No downsides Till now, will inform is there is any further.",20 Jan 2022
Great working experience,5.0,Full Stack Developer,,"Current Employee, less than 1 year",There are lots of new things to learn for a freasher. Anyone can have a honest behavior from all the members of this organization.,Communication with higher authority can be improved.,6 Dec 2021
Work on Realtime projects,5.0,Data Scientist,,Hyderābād,"Give real time projects to work on, You will learn to handle communication with client.",Sometimes need to work more hours.,6 Dec 2021
Good company to work with,5.0,Software Engineer,,Current Employee,"good exposure, good colleague, great learning",No cons as of now,13 Dec 2021
Allright company to work at,5.0,Software Engineer,,"Current Employee, less than 1 year",seniors are good to work with.,pay seems to be less.,7 Dec 2021
Data Science Intern,5.0,Data Scientist,,New Delhi,"good experience, good exposure, flexible",No cons as of now,6 Dec 2021
Good Firm,5.0,Data Scientist,,"Current Employee, less than 1 year","I had done good projects here in AI and ML. Also had done some data engineering projects. I did not know about it but I learned here, and I was given time for the learning.","More time needed to learn the new skills, but I managed it.",6 Sept 2021
Best Consulting Company in India with best service provider.,5.0,Anonymous Employee,,"Current Employee, less than 1 year",Your Current ideas being executed here. People are more friendly here. This company wants Innovative people in their jobs role. Mentor was good in nature. Salary on time. Here we go for areas for improvement. You can grow here with full confidence.,Blackcoffer assignment is quite tough. Get Promotion after 1 year. Salary depends on your skills.,19 Jun 2021
MERN Stack Experience,5.0,Full Stack Developer,,"Current Employee, less than 1 year",Learned MERN completely here. Made API and apps from Scratch. Feeling Full of Stacks with Clouds,"Cloud Deployment was difficult for me, but got help from Sr.",6 Sept 2021
people working there are not skilled,3.0,Data Scientist,,Tura,"good pay, make you work directly on the projects",others are not skilled enough and all the job falls on you,22 Aug 2021
Good Projects and Great Learning,5.0,Data Science,,"Current Employee, less than 1 year","Realtime projects, direct handling with clients and empowerments.","I do not have any, it was good working.",6 Sept 2021
No real employees,1.0,Software Engineer,,"Current Employee, less than 1 year","None, it's a borderline scam and there are no pros. They will make you work on 7 days a week and even during nighttime with no extra pay.","Whole ""company"" full of interns. No real employees. They takes jobs from freelancer websites, make interns do all the work and then pocket the money.",7 Aug 2021
"A growing company. Its CEO is IITian, a beautiful mind and he is helpful, motivational team leader",5.0,Project Manager,,New Delhi,Challenging environments. Definitely you will learn here something better,I don't have any cons,16 Jan 2021
A very fast growing startup company which offers analytics and software consulting services.,5.0,Project Manager,,"Current Employee, less than 1 year",Definitely start your career from Blackcoffer.,No cons to say ...,19 Dec 2018
Nice company,5.0,Data Scientist,,Hyderābād,Good company to start your career,no cons for this company.,29 Nov 2018
I worked at Google,5.0,Developer,,"Current Employee, less than 1 year",Best service that they would give,I can't think of any cons,14 Feb 2019
Great,5.0,Anonymous Employee,,New Delhi,"God work environment, amazing people",No cons as such here,23 Dec 2020
super,2.0,Software Development Engineer In Test (SDET) II,,"Current Employee, more than 3 years",amazing enviroment to work therre,amazing place in the country,16 Oct 2020
Good but not Great,3.0,Data Scientist,,New Delhi,"WFH is available, so remotely","No Social life, No career leap, No specific work to position",6 Feb 2023
Great place to work,5.0,Associate Software Engineer,,"Current Employee, less than 1 year","creative thinking
great place to learn",no cons discovered as of now,12 Mar 2022
Please dont join,1.0,Data Analyst,,Mumbai,"All the things are cons, Please dont join",Hell sounds better than this,21 Oct 2021
